action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,344107,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CCCC1C(=O)N(CC(C)C)c2sc3ccccc3[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL166322,,CHEMBL166322,,0,http://www.openphacts.org/units/Nanomolar,323879,=,1,1,=,,IC50,nM,,231000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,231.0
,,674340,[],CHEMBL764352,Inhibition of bovine heart cAMP-phosphodiesterase with ethanol,B,,,BAO_0000190,BAO_0000224,protein format,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL190,THEOPHYLLINE,CHEMBL190,,0,http://www.openphacts.org/units/Nanomolar,311681,=,1,1,=,,IC50,nM,,286000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,286.0
,,674341,[],CHEMBL764353,Inhibition of bovine heart cAMP-phosphodiesterase without ethanol,B,,,BAO_0000190,BAO_0000224,protein format,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL190,THEOPHYLLINE,CHEMBL190,,0,http://www.openphacts.org/units/Nanomolar,311681,=,1,1,=,,IC50,nM,,412000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,412.0
,,675720,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N(CC)c2sc3ccccc3[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL160504,,CHEMBL160504,,1,http://www.openphacts.org/units/Nanomolar,311684,=,1,1,=,,IC50,nM,,153000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,153.0
,,679445,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCN1C(=O)C(C)C(=O)[n+]2nc(C)sc21,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL347017,,CHEMBL347017,,0,http://www.openphacts.org/units/Nanomolar,311676,=,1,1,=,,IC50,nM,,2453000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,2453.0
,,680762,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,O=C1CC(=O)[n+]2ccsc2N1Cc1cccc(Cl)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL422889,,CHEMBL422889,,0,http://www.openphacts.org/units/Nanomolar,311688,=,1,1,=,,IC50,nM,,308000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,308.0
,,682293,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCN1C(=O)C(c2ccccc2)C(=O)[n+]2ncsc21,,,CHEMBL1121872,J Med Chem,1981,"{'bei': '16.84', 'le': '0.33', 'lle': '3.40', 'sei': '8.53'}",CHEMBL158723,,CHEMBL158723,4.62,0,http://www.openphacts.org/units/Nanomolar,311677,=,1,1,=,,IC50,nM,,24000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,24.0
,,682295,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21,,,CHEMBL1121872,J Med Chem,1981,"{'bei': '22.52', 'le': '0.43', 'lle': '4.92', 'sei': '6.89'}",CHEMBL275084,ISOBUTYLMETHYLXANTHINE,CHEMBL275084,5.00,0,http://www.openphacts.org/units/Nanomolar,311683,=,1,1,=,,IC50,nM,,9900.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,9.9
,,683752,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCCCCC1C(=O)N(CC)c2scn[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL345574,,CHEMBL345574,,0,http://www.openphacts.org/units/Nanomolar,311671,=,1,1,=,,IC50,nM,,156000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,156.0
,,683754,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCc1n[n+]2c(s1)N(CC)C(=O)C(C)C2=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL158999,,CHEMBL158999,,0,http://www.openphacts.org/units/Nanomolar,311674,=,1,1,=,,IC50,nM,,2411000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,2411.0
,,685153,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N(CC)c2scc(C)[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL160634,,CHEMBL160634,,0,http://www.openphacts.org/units/Nanomolar,311689,=,1,1,=,,IC50,nM,,412000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,412.0
,,686436,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CC[N+]1=C2SC=NN2C(=O)C(C)C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL23385,,CHEMBL23385,,0,http://www.openphacts.org/units/Nanomolar,311691,=,1,1,=,,IC50,nM,,1160000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,1160.0
,,686443,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCC(C)C1C(=O)N(CC)c2scn[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL160986,,CHEMBL160986,,0,http://www.openphacts.org/units/Nanomolar,311694,=,1,1,=,,IC50,nM,,233000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,233.0
,,686445,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N(CC2CC2)c2scc(-c3ccccc3)[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL347035,,CHEMBL347035,,0,http://www.openphacts.org/units/Nanomolar,311685,=,1,1,=,,IC50,nM,,287000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,287.0
,Insoluble,689245,[],CHEMBL763740,Inhibition of bovine heart cAMP-phosphodiesterase (Insoluble),B,,,BAO_0000190,BAO_0000224,protein format,CCN1C(=O)C(Cc2ccc(OC)cc2)C(=O)[n+]2ncsc21,,,CHEMBL1121872,J Med Chem,1981,,CHEMBL157698,,CHEMBL157698,,0,http://www.openphacts.org/units/Nanomolar,311679,,1,0,,,IC50,nM,,,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,
,,697048,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CC[N+]1=C2SC=NN2C(=O)C(Cc2ccccc2)C1=O,,,CHEMBL1121872,J Med Chem,1981,"{'bei': '14.86', 'le': '0.29', 'lle': '2.99', 'sei': '8.12'}",CHEMBL284323,,CHEMBL284323,4.28,0,http://www.openphacts.org/units/Nanomolar,311680,=,1,1,=,,IC50,nM,,52000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,52.0
,,699883,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCN1C(=O)C(C(C)C)C(=O)[n+]2ncsc21,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL160128,,CHEMBL160128,,0,http://www.openphacts.org/units/Nanomolar,311693,=,1,1,=,,IC50,nM,,254000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,254.0
,,699885,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N(CC)c2sc(C)n[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL345166,,CHEMBL345166,,0,http://www.openphacts.org/units/Nanomolar,311675,=,1,1,=,,IC50,nM,,1689000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,1689.0
,,699893,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N2C=CSC2=[N+](CC2CC2)C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL278344,,CHEMBL278344,,0,http://www.openphacts.org/units/Nanomolar,311686,=,1,1,=,,IC50,nM,,396000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,396.0
,,701132,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CC[N+]1=C2SC=NN2C(=O)CC1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL23061,,CHEMBL23061,,0,http://www.openphacts.org/units/Nanomolar,311670,=,1,1,=,,IC50,nM,,774000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,774.0
,,702450,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N2N=CSC2=[N+](CC)C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL287372,,CHEMBL287372,,0,http://www.openphacts.org/units/Nanomolar,311695,=,1,1,=,,IC50,nM,,550000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,550.0
,,702456,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N(CC)c2scc[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL160947,,CHEMBL160947,,0,http://www.openphacts.org/units/Nanomolar,311672,=,1,1,=,,IC50,nM,,858000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,858.0
,,705057,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCN1C(=O)C(Cc2ccc(Cl)cc2)C(=O)[n+]2ncsc21,,,CHEMBL1121872,J Med Chem,1981,"{'bei': '15.54', 'le': '0.33', 'lle': '3.07', 'sei': '9.27'}",CHEMBL345196,,CHEMBL345196,5.02,0,http://www.openphacts.org/units/Nanomolar,311678,=,1,1,=,,IC50,nM,,9600.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,9.6
,,706452,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCN1C(=O)C(CC(C)C)C(=O)[n+]2ncsc21,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL155813,,CHEMBL155813,,0,http://www.openphacts.org/units/Nanomolar,311690,=,1,1,=,,IC50,nM,,154000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,154.0
,,707701,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCCC1C(=O)N(CC)c2scn[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL160772,,CHEMBL160772,,0,http://www.openphacts.org/units/Nanomolar,311692,=,1,1,=,,IC50,nM,,252000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,252.0
,,707703,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCc1n[n+]2c(s1)N(CC)C(=O)C(CC)C2=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL160600,,CHEMBL160600,,0,http://www.openphacts.org/units/Nanomolar,311673,=,1,1,=,,IC50,nM,,1980000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,1980.0
,,710327,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CC1C(=O)N(Cc2cccc(Cl)c2)c2scc(-c3ccccc3)[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL347461,,CHEMBL347461,,0,http://www.openphacts.org/units/Nanomolar,311687,=,1,1,=,,IC50,nM,,152000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,152.0
